Respondent,Age (Years),Areas Covered,Company,Employment Status,"If Direct Employee, what benefits do you receiv...",Social Insurance Contributions,Paid Leave,Meal Allowance,Fuel Allowance,Specify the benefits in numbers? (Days),Meal Allowance (EGP/month),Fuel Allowance (EGP/month),Vehicle type:,Do you have any vehicle financing?,"If you have vehicle financing, what is your mon...",Approximate monthly cost of fuel: ______ EGP,Approximate monthly maintenance cost: ______ EGP,"Any other work-related expenses? (e.g., license...",Please estimate your monthly average expenses f...,Engine oil and servicing: ______ EGP/month,Brake pad replacement/repair: ______ EGP/month,Any other recurring mechanical or safety check ...,Please mention your Fixed Monthly Pay (if any):...,Variable Pay (Monthly bonuses): ______ EGP,Average number of deliveries per day: ______,Average working hours per day: ______,Average working days per week: ______,Varaiable Per Stops/Order (As applicable),What is your payment frequency?,Do you receive extra pay for deliveries in diff...,If YES for previous question - receiving extra ...,Do you receive performance-based incentives?,"If yes for previous question, how much do you e...",What is your total gross monthly income (before...,How long have you been working with your curren...,How many years of experience do you have in del...,Average commute time to starting point (one way...,Approximate delivery success rate (orders deliv...,Do you receive any support or incentives during...,"If yes for previous question, what support do y...",Route Prioritization,Additional Breaks/Rest Support,Did you receive any incentive during White Frid...,How many days did you work during white Friday/...,How much extra did you earn during white Friday...,Was the incentive paid per package delivered du...,Please specify other incentive paid per package...,Did you receive any incentive during Eid/Ramada...,How much incentive did you receive during Eid/R...,"During Eid/Ramadan peak period, was incentives ...",Please mention other incentives to criteria dur...,Did you work during public holidays (Eid or nat...,How was your overtime paid during public holida...,For overtime paid give flat bonus per shift dur...,Please mention other overtime paid during publi...,Please mention number of public holiday shifts ...,Please fill in the following based on your mont...,Fuel Expenses (EGP),Maintenance Costs (EGP),Financing/Lease (EGP),"Other Expenses (licenses, permits, fines, etc.)...",Net Income (Gross - All Expenses) (EGP)
Respondent 11,28,New Towns & Extensions,Carrefour,Independent Contractor / Freelancer,No,No,No,No,No,0.0,0,0,Sedan ,No,0.0,4000,400,300,0,520,0.0,0.0,10000,13500,45,12,6,12.5,Monthly,No,0.0,Yes,200,23700,1 yrs,2 yrs,16,80,Yes,Yes,Yes,No,Yes,3.0,500,"No, it was a flat bonus",0.0,Yes,1000,Number of days worked,,Yes,1.5x regular rate,0,0.0,2.0,25200,4000,920,0,300,19980
Respondent 12,31,Alexandria,Breadfast,Independent Contractor / Freelancer,Yes,No,Yes,No,No,1.0,0,0,Sedan ,No,0.0,2000,900,440,0,500,0.0,0.0,6500,9360,26,12,6,15.0,Monthly,No,0.0,Yes,900,16760,2 Years,3 Years,20,95,Yes,Yes,No,No,Yes,7.0,550,"No, it was a flat bonus",0.0,Yes,800,Number of days worked,,No,,0,0.0,0.0,18110,2000,1400,0,440,14270
Respondent 13,30,New Towns & Extensions,PDC,Direct Employee,Yes,Yes,Yes,No,No,1.0,0,0,Van,No,0.0,0,0,450,0,0,0.0,0.0,7000,7200,50,12,6,6.0,Monthly,No,0.0,Yes,600,14800,1 Year,2 Years,15,85,Yes,Yes,Yes,No,Yes,9.0,600,"No, it was a flat bonus",0.0,Yes,1000,Package volume,,Yes,Flat bonus per shift,0,0.0,4.0,16400,0,0,0,450,15950
Respondent 14,38,Central / Old Cairo,Breadfast,Independent Contractor / Freelancer,Yes,No,Yes,No,No,1.0,0,0,Sedan ,No,0.0,2200,950,500,20,600,0.0,0.0,6500,10080,28,12,6,15.0,Monthly,No,0.0,Yes,850,17430,5.5 Years,6 Years,12,98,Yes,Yes,No,No,Yes,5.0,600,"No, it was a flat bonus",0.0,Yes,900,Number of days worked,,Yes,2x regular rate,0,0.0,2.0,18930,2200,1570,0,500,14660
Respondent 15,28,East Urban Cairo,PDC,Direct Employee,Yes,Yes,Yes,No,No,1.0,0,0,Van,No,0.0,0,0,550,0,0,0.0,0.0,7000,6912,48,12,6,6.0,Monthly,No,0.0,Yes,500,14412,2 Years,2 Years,20,80,Yes,Yes,Yes,No,Yes,7.0,750,"Yes, per package",0.0,Yes,1000,Package volume,,Yes,Flat bonus per shift,0,0.0,3.0,16162,0,0,0,550,15612
Respondent 16,30,Tanta,Jumia,Independent Contractor / Freelancer,No,No,No,No,No,0.0,0,0,Van,No,,3800,500,450,0,700,0.0,0.0,0,21216,34,12,6,26.0,Weekly/Monthly,No,,Yes,200,21416,7 months,9 months ,28,84,Yes,Yes,Yes,Yes,No,,0,,,Yes,1000,Number of days worked,,Yes,1.5x regular rate,0,,,22416,3800,1200,0,450,16966
Respondent 17,26,New Towns & Extensions,Noon,Independent Contractor / Freelancer,No,No,No,No,No,0.0,0,0,Sedan ,No,0.0,2800,460,150,0,900,0.0,0.0,0,18720,39,10,6,20.0,Daily/Weekly,No,,Yes,275,18995,1,1,18,80,Yes,Yes,Yes,Yes,Yes,8.0,1000,"No, it was a flat bonus",,Yes,950,Number of days worked,,Yes,Flat bonus per shift,500,,4.0,20945,2800,1360,0,150,16635
Respondent 18,29,Tanta,Breadfast,Independent Contractor / Freelancer,Yes,No,Yes,No,No,1.0,0,0,Sedan ,No,0.0,2300,850,500,0,550,0.0,0.0,6500,7392,22,12,6,14.0,Monthly,No,0.0,Yes,500,14392,2.5 Years,3 Years,15,97,Yes,Yes,No,No,Yes,7.0,600,"No, it was a flat bonus",0.0,Yes,750,Number of days worked,,Yes,2x regular rate,0,0.0,2.0,15742,2300,1400,0,500,11542
Respondent 19,36,Mansoura,Carrefour,Independent Contractor / Freelancer,No,No,No,No,No,0.0,0,0,Van,No,0.0,4500,500,230,0,470,0.0,0.0,9000,10500,35,12,6,12.5,Monthly,No,0.0,Yes,480,19980,5 yrs,6 yrs,18,90,Yes,Yes,Yes,Yes,Yes,5.0,700,"No, it was a flat bonus",0.0,Yes,300,Number of days worked,,Yes,2x regular rate,0,0.0,2.0,20980,4500,970,0,230,15280
Respondent 20,27,Hurghada,Jumia,Independent Contractor / Freelancer,No,No,No,No,No,0.0,0,0,Sedan ,No,,3900,550,550,50,570,0.0,0.0,0,19200,32,12,6,25.0,Weekly/Monthly,No,,Yes,300,19500,10 months,13 months ,20,87,Yes,Yes,Yes,Yes,Yes,4.0,520,"No, it was a flat bonus",,Yes,400,Number of days worked,,Yes,1.5x regular rate,0,,,20420,3900,1170,0,550,14800
Respondent 21,36,Mansoura,Noon,Direct Employee,Yes,Yes,Yes,No,No,1.75,0,0,Van,No,0.0,0,0,200,0,0,0.0,0.0,6500,5928,38,11,6,6.5,Monthly,No,,Yes,400,12828,3,3,20,85,Yes,Yes,Yes,Yes,Yes,7.0,1000,"No, it was a flat bonus",,Yes,1150,Number of days worked,,Yes,Flat bonus per shift,500,,4.0,14978,0,0,0,200,14778
Respondent 22,35,West / Suburban Cairo,PDC,Direct Employee,Yes,Yes,Yes,No,No,1.0,0,0,Van,No,0.0,0,0,460,0,0,0.0,0.0,7000,5400,45,12,6,5.0,Monthly,No,0.0,Yes,550,12950,6 Years,6.5 Years,12,80,Yes,Yes,Yes,Yes,Yes,8.0,800,"No, it was a flat bonus",0.0,Yes,1050,Package volume,,Yes,Flat bonus per shift,0,0.0,3.0,14800,0,0,0,460,14340
Respondent 23,30,Central / Old Cairo,Uber/Careem,Independent Contractor / Freelancer,No,No,No,No,No,0.0,0,0,Small Cars,Yes,650.0,2500,350,200,50,300,,,12480,0,12,8,6,0.0,Daily,No,0.0,Yes,1456,13936,2.5 years,2.5 years,20,90,Yes,Yes,Yes,Yes,Yes,7.0,700,"No, it was a flat bonus",,Yes,600,Shift completion,,Yes,1.5x regular rate,0,,,15236,2500,700,650,200,11186
Respondent 24,28,Hurghada,Breadfast,Independent Contractor / Freelancer,Yes,No,Yes,No,No,1.0,0,0,Sedan ,No,0.0,2000,800,480,25,500,0.0,0.0,6500,9000,25,12,6,15.0,Monthly,No,0.0,Yes,550,16050,2.5 Years,2.5 Years,15,96,Yes,Yes,No,No,Yes,7.0,600,"No, it was a flat bonus",0.0,Yes,950,Number of days worked,,Yes,2x regular rate,0,0.0,2.0,17600,2000,1325,0,480,13795
Respondent 25,38,Mansoura,Jumia,Independent Contractor / Freelancer,No,No,No,No,No,0.0,0,0,Sedan ,No,,3660,500,450,50,540,0.0,0.0,0,20400,34,12,6,25.0,Weekly/Monthly,No,,Yes,400,20800,3,4,20,90,Yes,Yes,Yes,Yes,Yes,6.0,780,"No, it was a flat bonus",,Yes,400,Number of days worked,,Yes,1.5x regular rate,0,,,21980,3660,1090,0,450,16780
Respondent 26,34,Alexandria,PDC,Direct Employee,No,Yes,Yes,No,No,1.0,0,0,Van,No,0.0,0,0,450,0,0,0.0,0.0,7000,3840,40,12,6,4.0,Monthly,No,0.0,Yes,600,11440,4 Years,5 Years,17,90,Yes,Yes,Yes,Yes,Yes,7.0,700,"No, it was a flat bonus",0.0,Yes,1000,Number of days worked,,Yes,Flat bonus per shift,0,0.0,3.0,13140,0,0,0,450,12690
Respondent 27,32,West / Suburban Cairo,Carrefour,Independent Contractor / Freelancer,No,No,No,No,No,0.0,0,0,Sedan ,No,0.0,4200,500,280,0,480,0.0,0.0,10000,11700,39,12,6,12.5,Monthly,No,0.0,Yes,380,22080,3 yrs,4 yrs,15,90,Yes,Yes,Yes,No,Yes,5.0,800,"No, it was a flat bonus",0.0,Yes,400,Number of days worked,,Yes,2x regular rate,0,0.0,3.0,23280,4200,980,0,280,17820
Respondent 28,28,West / Suburban Cairo,Jumia,Independent Contractor / Freelancer,No,No,No,No,No,0.0,0,0,Sedan ,No,,3945,630,450,40,650,0.0,0.0,0,21600,36,12,6,25.0,Weekly/Monthly,No,,Yes,380,23180,13 months,15 months,22,85,Yes,Yes,Yes,Yes,Yes,7.0,500,"No, it was a flat bonus",,Yes,1200,Number of days worked,,Yes,1.5x regular rate,0,,,24880,3945,1320,0,450,19165
Respondent 29,35,East Urban Cairo,Breadfast,Independent Contractor / Freelancer,Yes,No,Yes,No,No,1.0,0,0,Sedan ,No,0.0,2400,920,450,0,520,0.0,0.0,6500,9792,24,12,6,17.0,Monthly,No,0.0,Yes,1050,17342,3 Years,3 Years,22,95,Yes,Yes,No,No,Yes,8.0,800,"No, it was a flat bonus",0.0,Yes,800,Number of days worked,,Yes,2x regular rate,0,0.0,3.0,18942,2400,1440,0,450,14652
Respondent 30,25,Mansoura,PDC,Independent Contractor / Freelancer,No,No,No,No,No,0.0,0,0,Sedan ,No,0.0,4100,1000,480,0,200,0.0,0.0,0,16800,35,12,6,20.0,Monthly,No,0.0,Yes,500,17300,2 Years,2.5 Years,18,85,Yes,Yes,Yes,No,Yes,8.0,800,"No, it was a flat bonus",0.0,Yes,850,Number of days worked,,Yes,Flat bonus per shift,0,0.0,3.0,18950,4100,1200,0,480,13170
Respondent 31,41,New Towns & Extensions,Jumia,Independent Contractor / Freelancer,No,No,No,No,No,0.0,0,0,Van,No,,3990,800,480,0,700,0.0,0.0,0,24000,40,12,6,25.0,Weekly/Monthly,No,,Yes,500,24500,6,6,25,95,Yes,Yes,Yes,Yes,Yes,4.0,520,"No, it was a flat bonus",,Yes,400,Number of days worked,,Yes,1.5x regular rate,0,,,25420,3990,1500,0,480,19450
Respondent 32,33,Hurghada,Carrefour,Independent Contractor / Freelancer,No,No,No,No,No,0.0,0,0,Sedan ,No,0.0,5000,450,250,0,520,0.0,0.0,9500,10800,36,12,6,12.5,Monthly,No,0.0,Yes,350,20650,3 yrs,5 yrs,20,85,Yes,Yes,Yes,No,Yes,3.0,400,"No, it was a flat bonus",0.0,Yes,280,Number of days worked,,Yes,1.5x regular rate,0,0.0,2.0,21330,5000,970,0,250,15110
Respondent 33,29,Alexandria,Uber/Careem,Independent Contractor / Freelancer,No,No,No,No,No,0.0,0,0,Small Cars,Yes,500.0,2510,365,150,0,400,,,12064,0,12,8,6,0.0,Daily,No,0.0,Yes,1456,13520,18 months,18 months ,24,85,Yes,Yes,Yes,Yes,Yes,7.0,1000,"No, it was a flat bonus",,Yes,400,Shift completion,,Yes,1.5x regular rate,0,,,14920,2510,765,500,150,10995
Respondent 34,26,Tanta,Aramex,Direct Employee,Yes,Yes,Yes,No,No,1.0,0,0,Van,No,0.0,0,0,500,0,0,0.0,0.0,7000,4560,38,12,6,5.0,Monthly,No,,Yes,300,11860,1.5,2,20,87,Yes,Yes,Yes,Yes,Yes,8.0,500,"No, it was a flat bonus",,Yes,975,Number of days worked,,Yes,1.5x regular rate,0,0.0,4.0,13335,0,0,0,500,12835
Respondent 35,35,Tanta,PDC,Independent Contractor / Freelancer,Yes,Yes,Yes,No,No,1.0,0,0,Van,No,0.0,4000,950,520,0,300,0.0,0.0,0,15120,35,12,6,18.0,Monthly,No,0.0,Yes,350,15470,25 Months,25 Months,20,80,Yes,Yes,No,No,Yes,8.0,700,"Yes, per package",0.0,Yes,700,Number of days worked,,Yes,Flat bonus per shift,0,0.0,2.0,16870,4000,1250,0,520,11100
Respondent 36,35,Tanta,Carrefour,Independent Contractor / Freelancer,No,No,No,No,No,0.0,0,0,Van,No,0.0,4000,520,300,0,510,0.0,0.0,9000,9600,32,12,6,12.5,Monthly,No,0.0,Yes,520,19120,5 yrs,6 yrs,15,95,Yes,Yes,Yes,Yes,Yes,6.0,900,"No, it was a flat bonus",0.0,Yes,400,Number of days worked,,Yes,2x regular rate,0,0.0,3.0,20420,4000,1030,0,300,15090
Respondent 37,37,New Towns & Extensions,Breadfast,Independent Contractor / Freelancer,Yes,No,Yes,No,No,1.0,0,0,Sedan ,No,0.0,2200,860,490,30,580,0.0,0.0,6500,8976,22,12,6,17.0,Monthly,No,0.0,Yes,900,16376,4 Years,5 Years,18,93,Yes,Yes,No,No,Yes,8.0,700,"No, it was a flat bonus",0.0,Yes,850,Number of days worked,,No,,0,0.0,0.0,17926,2200,1470,0,490,13766
Respondent 38,36,East Urban Cairo,Jumia,Independent Contractor / Freelancer,No,No,No,No,No,0.0,0,0,Sedan ,No,,3500,600,415,0,700,0.0,0.0,0,23712,38,12,6,26.0,Weekly/Monthly,No,,Yes,400,24112,2,3,23,88,Yes,Yes,Yes,Yes,Yes,7.0,500,"No, it was a flat bonus",,Yes,400,Number of days worked,,Yes,1.5x regular rate,0,,,25012,3500,1300,0,415,19797
Respondent 39,37,Hurghada,PDC,Independent Contractor / Freelancer,No,No,No,No,No,0.0,0,0,Sedan ,No,0.0,4000,1000,450,0,300,0.0,0.0,0,19008,36,10,6,22.0,Monthly,No,0.0,No,0,19008,3 Years,3 Years,14,80,Yes,Yes,No,No,Yes,9.0,500,"Yes, per package",0.0,Yes,700,Number of days worked,,No,,0,0.0,0.0,20208,4000,1300,0,450,14458
Respondent 40,32,West / Suburban Cairo,Breadfast,Independent Contractor / Freelancer,Yes,No,Yes,No,No,1.0,0,0,Sedan ,No,0.0,2500,1000,500,0,600,0.0,0.0,6500,9000,25,12,6,15.0,Monthly,No,0.0,Yes,1100,16600,1.5 Years,2 Years,17,97,Yes,Yes,No,No,Yes,9.0,500,"No, it was a flat bonus",0.0,Yes,900,Number of days worked,,No,,0,0.0,0.0,18000,2500,1600,0,500,13400
Respondent 41,34,Central / Old Cairo,Carrefour,Independent Contractor / Freelancer,No,No,No,No,No,0.0,0,0,Van,No,0.0,3500,550,200,0,430,0.0,0.0,9500,11400,38,12,6,12.5,Monthly,No,0.0,Yes,450,21350,5 yrs,7 yrs,14,80,Yes,Yes,Yes,Yes,Yes,7.0,1000,"No, it was a flat bonus",0.0,Yes,500,Number of days worked,,Yes,2x regular rate,0,0.0,3.0,22850,3500,980,0,200,18170
Respondent 42,31,Alexandria,Carrefour,Independent Contractor / Freelancer,No,No,No,No,No,0.0,0,0,Sedan ,No,0.0,5000,490,300,0,500,0.0,0.0,9500,11400,38,12,6,12.5,Monthly,No,0.0,Yes,280,21180,1 yrs,2 yrs,18,85,Yes,Yes,Yes,No,Yes,4.0,450,"No, it was a flat bonus",0.0,Yes,250,Number of days worked,,Yes,1.5x regular rate,0,0.0,2.0,21880,5000,990,0,300,15590
Respondent 43,26,Alexandria,Jumia,Independent Contractor / Freelancer,No,No,No,No,No,0.0,0,0,Sedan ,Yes,1000.0,4200,500,500,0,600,0.0,0.0,0,19320,35,12,6,23.0,Weekly/Monthly,No,,Yes,320,19640,1,2,25,85,Yes,Yes,Yes,Yes,Yes,7.0,500,"No, it was a flat bonus",,Yes,1000,Number of days worked,,Yes,1.5x regular rate,0,,,21140,4200,1100,1000,500,14340
Respondent 44,26,Mansoura,Breadfast,Independent Contractor / Freelancer,Yes,No,Yes,No,No,1.0,0,0,Sedan ,No,0.0,2300,900,460,20,590,0.0,0.0,6500,6720,20,12,6,14.0,Monthly,No,0.0,Yes,800,14020,1 Year,1.5 Years,14,95,Yes,Yes,No,No,Yes,4.0,600,"No, it was a flat bonus",0.0,Yes,870,Number of days worked,,Yes,2x regular rate,0,0.0,3.0,15490,2300,1510,0,460,11220
Respondent 45,30,East Urban Cairo,Carrefour,Independent Contractor / Freelancer,No,No,No,No,No,0.0,0,0,Van,No,0.0,4100,400,250,0,500,0.0,0.0,10000,12600,42,12,6,12.5,Monthly,No,0.0,Yes,350,22950,1 yrs,4 yrs,18,85,Yes,Yes,Yes,Yes,Yes,5.0,800,"No, it was a flat bonus",0.0,Yes,300,Number of days worked,,Yes,1.5x regular rate,0,0.0,4.0,24050,4100,900,0,250,18800
Respondent 46,35,East Urban Cairo,Uber/Careem,Independent Contractor / Freelancer,No,No,No,No,No,0.0,0,0,Small Cars,No,0.0,2780,400,150,40,380,0.0,0.0,13104,0,14,8,6,0.0,Daily,No,0.0,Yes,1456,14560,3,3,15,80,Yes,Yes,Yes,Yes,Yes,10.0,1000,"No, it was a flat bonus",0.0,Yes,600,Shift completion,,Yes,1.5x regular rate,0,0.0,0.0,16160,2780,820,0,150,12410
Respondent 47,25,East Urban Cairo,Aramex,Independent Contractor / Freelancer,No,No,No,No,No,0.0,0,0,Sedan ,Yes,1250.0,4100,700,470,0,600,0.0,0.0,0,23760,45,12,6,22.0,Monthly,No,0.0,Yes,400,24160,2,3.5,15,91,Yes,Yes,Yes,Yes,Yes,8.0,500,"No, it was a flat bonus",0.0,Yes,1100,Number of days worked,,Yes,1.5x regular rate,0,0.0,4.0,25760,4100,1300,1250,470,18640
Respondent 48,24,Alexandria,Aramex,Independent Contractor / Freelancer,No,No,No,No,No,0.0,0,0,Sedan ,No,0.0,4000,500,505,0,550,0.0,0.0,0,20160,42,12,6,20.0,Monthly,No,0.0,Yes,350,20510,4 months,2,22,87,No,No,No,No,No,0.0,0,,0.0,Yes,975,Number of days worked,,Yes,1.5x regular rate,0,0.0,3.0,21485,4000,1050,0,505,15930
Respondent 49,28,Tanta,Uber/Careem,Independent Contractor / Freelancer,No,No,No,No,No,0.0,0,0,Small Cars,No,0.0,2600,500,100,0,300,0.0,0.0,12064,0,13,8,6,0.0,Daily,No,0.0,Yes,1456,13520,10 months,10 months,22,85,Yes,Yes,Yes,Yes,No,5.0,500,"No, it was a flat bonus",0.0,Yes,400,Shift completion,,Yes,1.5x regular rate,0,0.0,0.0,14420,2600,800,0,100,10920
Respondent 50,32,Hurghada,Uber/Careem,Independent Contractor / Freelancer,No,No,No,No,No,0.0,0,0,Small Cars,Yes,1050.0,2456,325,200,40,360,0.0,0.0,12688,0,11,8,6,0.0,Daily,No,0.0,Yes,1456,14144,2,2,24,80,Yes,Yes,Yes,Yes,Yes,8.0,800,"No, it was a flat bonus",0.0,Yes,500,Shift completion,,Yes,1.5x regular rate,0,0.0,0.0,15444,2456,725,1050,200,11013
Respondent 51,28,Mansoura,Uber/Careem,Independent Contractor / Freelancer,No,No,No,No,No,0.0,0,0,Small Cars,No,0.0,2654,300,160,0,380,0.0,0.0,12272,0,13,8,6,0.0,Daily,No,0.0,Yes,1456,13728,18 months,18 months ,20,90,Yes,Yes,Yes,Yes,Yes,8.0,800,"No, it was a flat bonus",0.0,Yes,400,Shift completion,,Yes,1.5x regular rate,0,0.0,0.0,14928,2654,680,0,160,11434
Respondent 52,27,New Towns & Extensions,Uber/Careem,Independent Contractor / Freelancer,No,No,No,No,No,0.0,0,0,Small Cars,No,0.0,2550,360,175,0,300,155.0,0.0,12480,0,12,8,6,0.0,Daily,No,0.0,Yes,1456,13936,2,2.5 years,21,85,Yes,Yes,Yes,Yes,Yes,6.0,600,"No, it was a flat bonus",0.0,Yes,400,Shift completion,,Yes,1.5x regular rate,0,0.0,0.0,14936,2550,815,0,175,11396
Respondent 53,36,Tanta,Noon,Direct Employee,Yes,Yes,Yes,No,No,1.75,0,0,Van,No,0.0,0,0,300,0,0,0.0,0.0,7000,5304,34,9,6,6.5,Monthly,No,0.0,Yes,370,12674,3,4,15,83,Yes,Yes,Yes,Yes,Yes,7.0,1000,"No, it was a flat bonus",0.0,Yes,950,Number of days worked,,Yes,2x regular rate,0,0.0,0.0,14624,0,0,0,300,14324
Respondent 54,31,West / Suburban Cairo,Uber/Careem,Independent Contractor / Freelancer,No,No,No,No,No,0.0,0,0,Small Cars,No,0.0,2600,380,140,0,320,0.0,0.0,12272,0,11,8,6,0.0,Daily,No,0.0,Yes,1456,13728,2,2,18,90,Yes,Yes,Yes,Yes,Yes,7.0,700,"No, it was a flat bonus",0.0,Yes,500,Shift completion,,Yes,1.5x regular rate,0,0.0,0.0,14928,2600,700,0,140,11488
